member_id,member_name,member_begin_date,congress,chamber,committee_id,subcommittee_id
S001217,Rick Scott,2019-01-24,116,senate,SSCM,SSCM26
W000437,Roger Wicker,,116,senate,SSCM,SSCM26
F000463,Deb Fischer,2019-01-24,116,senate,SSCM,SSCM32
D000622,Tammy Duckworth,2019-01-24,116,senate,SSCM,SSCM32
T000250,John Thune,2019-01-24,116,senate,SSCM,SSCM32
B000575,Roy Blunt,2019-01-24,116,senate,SSCM,SSCM32
B001277,Richard Blumenthal,2019-01-24,116,senate,SSCM,SSCM32
M000934,Jerry Moran,2019-01-24,116,senate,SSCM,SSCM32
U000039,Tom Udall,2019-01-24,116,senate,SSCM,SSCM32
C001047,Shelley Moore Capito,2019-01-24,116,senate,SSCM,SSCM32
P000595,Gary Peters,2019-01-24,116,senate,SSCM,SSCM32
C000127,Maria Cantwell,,116,senate,SSCM,SSCM32
S001217,Rick Scott,2019-01-24,116,senate,SSCM,SSCM32
W000437,Roger Wicker,,116,senate,SSCM,SSCM32
S001198,Dan Sullivan,,116,senate,SSCM,SSCM31
B000575,Roy Blunt,,116,senate,SSCM,SSCM31
B001277,Richard Blumenthal,,116,senate,SSCM,SSCM31
C001098,Ted Cruz,,116,senate,SSCM,SSCM31
F000463,Deb Fischer,,116,senate,SSCM,SSCM31
U000039,Tom Udall,,116,senate,SSCM,SSCM31
D000622,Tammy Duckworth,,116,senate,SSCM,SSCM31
J000293,Ron Johnson,,116,senate,SSCM,SSCM31
R000608,Jacky Rosen,,116,senate,SSCM,SSCM31
S001217,Rick Scott,,116,senate,SSCM,SSCM31
C000127,Maria Cantwell,,116,senate,SSCM,SSCM31
W000437,Roger Wicker,,116,senate,SSCM,SSCM31
M000934,Jerry Moran,2019-01-24,116,senate,SSCM,SSCM29
B001277,Richard Blumenthal,2019-01-24,116,senate,SSCM,SSCM29
T000250,John Thune,2019-01-24,116,senate,SSCM,SSCM29
F000463,Deb Fischer,2019-01-24,116,senate,SSCM,SSCM29
S001198,Dan Sullivan,2019-01-24,116,senate,SSCM,SSCM29
U000039,Tom Udall,2019-01-24,116,senate,SSCM,SSCM29
C001047,Shelley Moore Capito,2019-01-24,116,senate,SSCM,SSCM29
J000293,Ron Johnson,2019-01-24,116,senate,SSCM,SSCM29
R000608,Jacky Rosen,2019-01-24,116,senate,SSCM,SSCM29
C000127,Maria Cantwell,,116,senate,SSCM,SSCM29
W000437,Roger Wicker,,116,senate,SSCM,SSCM29
C001098,Ted Cruz,2019-01-24,116,senate,SSCM,SSCM28
T000250,John Thune,2019-01-24,116,senate,SSCM,SSCM28
B000575,Roy Blunt,2019-01-24,116,senate,SSCM,SSCM28
U000039,Tom Udall,2019-01-24,116,senate,SSCM,SSCM28
M000934,Jerry Moran,2019-01-24,116,senate,SSCM,SSCM28
P000595,Gary Peters,2019-01-24,116,senate,SSCM,SSCM28
D000622,Tammy Duckworth,2019-01-24,116,senate,SSCM,SSCM28
C001047,Shelley Moore Capito,2019-01-24,116,senate,SSCM,SSCM28
R000608,Jacky Rosen,2019-01-24,116,senate,SSCM,SSCM28
C000127,Maria Cantwell,,116,senate,SSCM,SSCM28
W000437,Roger Wicker,,116,senate,SSCM,SSCM28
C001098,Ted Cruz,2019-01-24,116,senate,SSCM,SSCM30
B001277,Richard Blumenthal,2019-01-24,116,senate,SSCM,SSCM30
S001198,Dan Sullivan,2019-01-24,116,senate,SSCM,SSCM30
J000293,Ron Johnson,2019-01-24,116,senate,SSCM,SSCM30
P000595,Gary Peters,2019-01-24,116,senate,SSCM,SSCM30
C000127,Maria Cantwell,,116,senate,SSCM,SSCM30
S001217,Rick Scott,2019-01-24,116,senate,SSCM,SSCM30
W000437,Roger Wicker,,116,senate,SSCM,SSCM30
W000779,Ron Wyden,2019-02-05,116,senate,SSEG,SSEG03
B001261,John Barrasso,2019-02-05,116,senate,SSEG,SSEG03
C000127,Maria Cantwell,2019-02-05,116,senate,SSEG,SSEG03
D000618,Steve Daines,2019-02-05,116,senate,SSEG,SSEG03
C001075,Bill Cassidy,2019-02-05,116,senate,SSEG,SSEG03
K000383,Angus King,2019-02-05,116,senate,SSEG,SSEG03
M001183,Joe Manchin III,2019-02-05,116,senate,SSEG,SSEG03
H001061,John Hoeven,2019-02-05,116,senate,SSEG,SSEG03
D000618,Steve Daines,2019-02-05,116,senate,SSEG,SSEG04
K000383,Angus King,2019-02-05,116,senate,SSEG,SSEG04
B001261,John Barrasso,2019-02-05,116,senate,SSEG,SSEG04
A000360,Lamar Alexander,2019-02-05,116,senate,SSEG,SSEG04
M001183,Joe Manchin III,2019-02-05,116,senate,SSEG,SSEG04
H001061,John Hoeven,2019-02-05,116,senate,SSEG,SSEG04
B001261,John Barrasso,2019-02-05,116,senate,SSEG,SSEG07
W000779,Ron Wyden,2019-02-05,116,senate,SSEG,SSEG07
C000127,Maria Cantwell,2019-02-05,116,senate,SSEG,SSEG07
C001075,Bill Cassidy,2019-02-05,116,senate,SSEG,SSEG07
M001183,Joe Manchin III,2019-02-05,116,senate,SSEG,SSEG07
A000360,Lamar Alexander,2019-02-05,116,senate,SSEG,SSEG07
C001075,Bill Cassidy,2019-02-05,116,senate,SSEG,SSEG01
W000779,Ron Wyden,2019-02-05,116,senate,SSEG,SSEG01
C000127,Maria Cantwell,2019-02-05,116,senate,SSEG,SSEG01
D000618,Steve Daines,2019-02-05,116,senate,SSEG,SSEG01
K000383,Angus King,2019-02-05,116,senate,SSEG,SSEG01
A000360,Lamar Alexander,2019-02-05,116,senate,SSEG,SSEG01
H001061,John Hoeven,2019-02-05,116,senate,SSEG,SSEG01
